Rank,State,Real per capita personal income,Top 5%,Poverty rate (3 year average),Per capita state Spending (2017),Per capita personal consumption expenditures by state (2018),State revenue per capita
1,Connecticut,63366,250000,9.9,8840,52941,10947
2,Massachusetts,59919,250000,9.8,8097,55095,10706
3,New York,53700,250000,11.8,7910,52701,14499
4,Alaska,51528,223728,12.2,13171,50246,14013
5,New Jersey,54502,250000,9.1,6583,52729,10699
6,North Dakota,55369,203744,10.9,8991,48499,14636
7,Maryland,52413,250000,7.1,7158,46820,9894
8,Hawaii,42507,238820,9.5,10274,48759,10629
9,Wyoming,56114,182268,11.4,7640,42766,15370
10,Minnesota,53384,218790,8.7,6719,47434,10325
11,New Hampshire,52281,229425,6.4,4418,52120,8015
12,California,49637,250000,12.5,6607,46981,10746
13,Delaware,47650,211732,9.6,11097,44103,9706
14,Vermont,48026,192323,9.6,8910,49950,11175
15,Rhode Island,50313,214529,10.3,8352,45144,9986
16,Washington,52149,229199,10.3,6034,46574,9321
17,Colorado,50810,228672,8.9,6515,44174,9134
18,Virginia,51325,250000,10.7,5939,45139,8197
19,Illinois,51892,227304,10.9,5312,45085,9124
20,Oregon,46073,199256,10.6,9665,42717,10012
21,Pennsylvania,51418,206534,11.5,6273,44805,8925
22,Wisconsin,50536,182897,9.5,8108,42456,8366
23,Nebraska,53549,185422,10.4,6180,41690,9069
24,Iowa,50093,180304,9.2,7212,38944,9786
25,Kansas,51449,189252,10.8,5345,37897,8400
26,South Dakota,53219,176511,11.8,4860,44149,7649
27,Montana,45386,176370,10.4,6623,42698,8431
28,Ohio,49724,183823,12.8,5852,40852,8695
29,Michigan,47140,187384,11,5459,40764,8464
30,Maine,44831,178516,12.6,6174,45497,8680
31,Utah,42982,202202,7.9,4585,37721,7501
32,Texas,46806,218061,13.7,3925,39045,7647
33,Missouri,48446,181527,11.9,4179,40060,7316
34,Nevada,45552,184901,12.2,4641,41458,7251
35,Indiana,47704,173021,11.8,4789,37680,7828
36,Florida,45396,196433,13.6,3640,41148,7111
37,New Mexico,40118,173396,18.7,9380,36258,10357
38,Tennessee,47086,179962,12.6,4890,36340,6675
39,North Carolina,45836,188470,14.1,4688,35718,7763
40,Georgia,45621,202025,14.7,4760,36488,6589
41,Oklahoma,46451,175805,14,5918,34500,7731
42,Arkansas,45498,160675,15.5,8367,34095,7935
43,Arizona,41790,195113,14.4,5990,35906,6835
44,West Virginia,42082,155823,17.2,9372,36071,8912
45,Kentucky,44187,167532,15.3,7364,35150,7946
46,South Carolina,44079,174555,14.1,4887,34689,7990
47,Idaho,42895,167204,11.3,4351,36777,6811
48,Louisiana,46208,182288,19.8,6067,36104,8110
49,Alabama,44239,170906,16,5466,33904,7561
50,Mississippi,40195,154295,19.8,6828,31083,8609
