Year,State Code,State Name,Total Test-takers,Total Math,Total Reading,Total Reading and Writing,Academic Subjects.Arts/Music.Average GPA,Academic Subjects.Arts/Music.Average Years,Academic Subjects.English.Average GPA,Academic Subjects.English.Average Years,Academic Subjects.Foreign Languages.Average GPA,Academic Subjects.Foreign Languages.Average Years,Academic Subjects.Mathematics.Average GPA,Academic Subjects.Mathematics.Average Years,Academic Subjects.Natural Sciences.Average GPA,Academic Subjects.Natural Sciences.Average Years,Academic Subjects.Social Sciences/History.Average GPA,Academic Subjects.Social Sciences/History.Average Years,Family Income Between 20-40k Test-takers,Family Income Between 20-40k Math,Family Income Between 20-40k Reading,Total Reading and Math 20-40k,Family Income Between 40-60k Test-takers,Family Income Between 40-60k Math,Family Income Between 40-60k Reading,Total Reading and Math 40-60k,Family Income Between 60-80k Test-takers,Family Income Between 60-80k Math,Family Income Between 60-80k Reading,Total Reading and Math 60-80k,Family Income Between 80-100k Test-takers,Family Income Between 80-100k Math,Family Income Between 80-100k Reading,Total Reading and Math 80-100k,Family Income Less than 20k Test-takers,Family Income Less than 20k Math,Family Income Less than 20k Reading,Total Reading and Math less than 20k,Family Income More than 100k Test-takers ,Family Income More than 100k Math,Family Income More than 100k Reading,Total Reading and Math more than 100k,GPA.A minus.Math,GPA.A minus.Test-takers,GPA.A minus.Verbal,GPA.A plus.Math,GPA.A plus.Test-takers,GPA.A plus.Verbal,GPA.A.Math,GPA.A.Test-takers,GPA.A.Verbal,GPA.B.Math,GPA.B.Test-takers,GPA.B.Verbal,GPA.C.Math,GPA.C.Test-takers,GPA.C.Verbal,GPA.D or lower.Math,GPA.D or lower.Test-takers,GPA.D or lower.Verbal
2005,AL,Alabama,3985,559,567,1126,3.92,2.2,3.53,3.9,3.54,2.6,3.41,4,3.52,3.9,3.59,3.9,324,513,527,1040,442,539,551,1090,473,550,564,1114,475,566,577,1143,175,462,474,936,980,588,590,1178,569,724,575,622,563,623,600,1032,608,514,1253,525,436,188,451,0,0,0
2005,AK,Alaska,3996,519,523,1042,3.76,1.9,3.35,3.9,3.34,2.1,3.06,3.5,3.25,3.2,3.39,3.4,401,492,500,992,539,517,522,1039,603,513,519,1032,444,528,534,1062,191,464,467,931,540,541,544,1085,544,673,546,600,173,604,580,671,578,492,1622,499,466,418,472,424,12,466
2005,AZ,Arizona,18184,530,526,1056,3.85,2.1,3.45,3.9,3.41,2.6,3.25,3.9,3.43,3.4,3.55,3.3,2121,498,495,993,2270,520,518,1038,2372,524,523,1047,1866,534,533,1067,891,485,474,959,3083,554,546,1100,541,3334,535,605,1684,593,571,3854,563,498,7193,499,458,1184,464,439,16,435
2005,AR,Arkansas,1600,552,563,1115,3.9,2.2,3.61,4,3.64,2.6,3.46,4.1,3.55,3.7,3.67,3.6,180,513,526,1039,245,543,555,1098,227,553,570,1123,147,570,580,1150,107,489,486,975,314,572,589,1161,559,298,572,629,273,639,579,457,583,492,437,511,419,57,436,0,0,0
2005,CA,California,186552,522,504,1026,3.76,1.8,3.32,3.8,3.29,2.8,3.05,3.7,3.2,3.2,3.38,3.3,26161,477,458,935,18347,506,494,1000,17937,521,511,1032,14120,535,525,1060,19323,451,421,872,27984,566,551,1117,562,30545,538,625,7502,603,592,25546,565,494,84659,480,434,18839,427,419,240,408
2005,CO,Colorado,11990,560,560,1120,3.88,2.2,3.49,4,3.41,3.1,3.33,3.9,3.43,3.7,3.56,3.7,948,533,535,1068,1287,543,548,1091,1550,553,552,1105,1427,562,560,1122,324,514,505,1019,2662,574,568,1142,573,2323,570,627,1098,614,602,2736,598,526,4312,529,484,732,489,457,12,462
2005,CT,Connecticut,34313,517,517,1034,3.66,2.1,3.13,3.9,3.03,3.1,3,3.8,3.07,3.5,3.18,3.6,2958,463,467,930,3186,493,499,992,3772,507,511,1018,3018,523,523,1046,1612,434,426,860,5952,565,559,1124,585,4742,577,652,497,643,616,2646,606,506,17108,506,431,4338,442,395,105,407
2005,DE,Delaware,6257,502,503,1005,3.71,1.8,3.21,3.9,3.18,2.7,3.07,3.8,3.19,3.6,3.3,3.6,762,449,454,903,802,481,487,968,833,497,501,998,592,512,510,1022,373,411,410,821,939,554,550,1104,534,1000,532,593,311,585,558,956,556,481,2718,482,422,731,430,392,19,399
2005,DC,District Of Columbia,3622,478,490,968,3.54,1.8,3.03,3.8,3.04,2.7,2.91,3.7,2.99,3.3,3.11,3.4,487,391,404,795,246,433,454,887,199,470,482,952,161,539,549,1088,535,374,377,751,546,608,622,1230,566,437,574,584,60,578,559,316,570,466,1493,479,370,643,386,323,13,377
2005,FL,Florida,93505,498,498,996,3.77,1.8,3.29,3.8,3.3,2.4,3.07,3.8,3.27,3.5,3.39,3.5,14713,471,473,944,12010,492,496,988,10455,504,505,1009,7196,516,517,1033,8728,433,431,864,10939,544,538,1082,530,14006,526,597,5958,589,554,15418,550,474,41559,476,420,9420,426,395,111,408
